instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
A & W Healthcare Educators,0,3,,,,,
A T Still University of Health Sciences,11,1,,,,,
Aaniiih Nakoda College,40,2,,,,,
Aaron's Academy of Beauty,0,3,,,,,
ABC Beauty Academy,0,3,,,,,
ABC Beauty College Inc,0,3,,,,,
ABCO Technology,0,3,,,,,
Abcott Institute,0,3,,,,,
Abdill Career College Inc,0,3,,,,,
Abilene Christian University,12,1,45980,45980,20,50,
Abington Memorial Hospital Dixon School of Nursing,0,2,,,,,
Abraham Baldwin Agricultural College,30,1,15025,21632,55,77,
Abraham Lincoln University,11,1,,,,,
Academy College,30,1,,,,,
Academy Di Capelli-School of Cosmetology,0,3,,,,,
Academy di Firenze,0,2,,,,,
Academy for Careers and Technology,0,3,,,,,
Academy for Five Element Acupuncture,20,1,,,,,
Academy for Jewish Religion-California,20,1,,,,,
Academy for Nursing and Health Occupations,40,2,,,,,
Academy for Salon Professionals,0,3,,,,,
Academy for Salon Professionals,0,3,,,,,
Academy of Art University,20,1,41234,41234,,,
Academy of Career Training,0,3,,,,,
Academy of Careers and Technology,0,3,,,,,
Academy of Chinese Culture and Health Sciences,20,1,,,,,
Academy of Cosmetology,0,2,,,,,
Academy of Cosmetology,0,3,,,,,
Academy of Cosmetology,0,2,,,,,
Academy of Cosmetology and Esthetics,0,3,,,,,
Academy of Cosmetology and Esthetics NYC,0,3,,,,,
Academy of Esthetics and Cosmetology,0,3,,,,,
Academy of Hair Design - Ron King Academy,-3,-3,,,,,
Academy of Hair Design-Beaumont,0,3,,,,,
Academy of Hair Design-Grenada,0,2,,,,,
Academy of Hair Design-Jackson,0,2,,,,,
Academy of Hair Design-Jasper,0,3,,,,,
Academy of Hair Design-Las Vegas,0,3,,,,,
Academy of Hair Design-Lufkin,0,3,,,,,
Academy of Hair Design-Oklahoma City,0,3,,,,,
Academy of Hair Design-Pearl,0,2,,,,,
Academy of Hair Design-Salem,0,2,,,,,
Academy of Hair Design-Springfield,0,3,,,,,
Academy of Hair Technology,0,3,,,,,
Academy of Interactive Entertainment,0,3,,,62,72,
Academy of Interactive Entertainment,0,3,,,91,65,
Academy of Massage and Bodywork,0,3,,,,,
Academy of Natural Therapy Inc,40,2,,,,,
Academy of Palm Beach,0,3,,,,,
Academy of Professional Cosmetology,0,3,,,,,
Academy of Salon and Spa,0,3,,,,,
Academy of Salon Professionals,0,3,,,,,
Academy of Vocal Arts,0,1,,,,,
Acaydia School of Aesthetics,0,3,,,,,
Access Careers,0,3,,,,,
Access Careers,0,3,,,,,
Ace Cosmetology and Barber Training Center,0,3,,,,,
Ace Institute of Technology,0,3,,,,,
Acupuncture and Integrative Medicine College-Berkeley,20,1,,,,,
Acupuncture and Massage College,20,1,,,,,
Adams State University,12,1,22266,33282,25,64,
Adelphi University,11,1,53688,53688,13,72,
Adirondack Beauty School,0,3,,,,,
Adirondack Community College,40,2,18458,22634,,,
Adler Graduate School,20,1,,,,,
Adler University,13,1,,,,,
Adrian College,20,1,50706,50706,16,61,
Adrian's College of Beauty Turlock,0,3,,,,,
Adult and Community Education-Hudson,0,3,,,50,83,
Adult and Continuing Education-BCTS,0,3,,,,,
Advance Beauty College,0,3,,,,,
Advance Beauty Techs Academy,0,3,,,,,
Advance Science Institute,40,2,,,,,
Advanced Barber College and Hair Design,0,3,,,,,
Advanced Beauty College,0,3,,,,,
Advanced Career Institute,0,3,,,,,
Advanced College,40,2,,,,,
Advanced College of Cosmetology,0,3,,,,,
Advanced Computing Institute,40,2,,,,,
Advanced Institute of Hair Design-Glendale,0,2,,,,,
Advanced Technical Centers,0,3,,,,,
Advanced Technology Institute,40,2,,,52,66,
Advanced Training Associates,40,2,,,,,
Advanced Training Institute,0,3,,,,,
Advanced Welding Institute,0,3,,,,,
Adventist University of Health Sciences,13,1,26556,26556,65,60,
Advertising Art Educational Services DBA School of Advertising Art,40,2,,,38,59,
Aerosim Flight Academy,0,3,,,,,
Aesthetic Science Institute,0,3,,,,,
Aesthetics Institute of Cosmetology,0,3,,,,,
Agnes Scott College,30,1,51992,51992,30,62,
AI Miami International University of Art and Design,20,1,32433,32433,,,
AIB College of Business,30,1,,,0,42,
Aiken School of Cosmetology and Barbering,0,3,,,,,
Aiken Technical College,40,2,,,,,
Ailano School of Cosmetology,0,3,,,,,
Aims Community College,40,2,,,,,
Air Force Institute of Technology-Graduate School of Engineering & Management,12,1,,,,,
Akron School of Practical Nursing,0,3,,,60,72,
Alabama A & M University,12,1,22886,31016,28,65,
Alabama College of Osteopathic Medicine,13,1,,,,,
Alabama School of Nail Technology & Cosmetology,0,3,,,,,
Alabama Southern Community College,40,2,,,,,
Alabama State College of Barber Styling,0,3,,,,,
Alabama State University,11,1,19634,26570,26,46,
Alamance Community College,40,2,,,,,
Alamo City Barber College,0,3,,,,,
